Gene,CFOS,CTCF,EGR1,NRF1,NRSF,POU2F2,SP1,SRF,STAT3,USF1,YY1
ENSG00000232314,0,0.321042315,0,0,0,0,0,0,0,0,0
ENSG00000231691,0,1.768208426,0,0,0,0,0,0,0,0,9.75E-31
ENSG00000222268,0,3.117914945,0,15.87243956,0,0,12.95245891,0,1.44388192,0,2.90E-20
ENSG00000222741,0,11.58099562,0,0,0,0,0,0,0,0,0
ENSG00000252640,0,7.594066634,0,0,0,0,0,0,0,0,0
ENSG00000129559,0,7.494208835,0,107.0759296,0,54.05795265,690.9119453,6.438129377,9.293185442,15.37071132,33.4105517
ENSG00000186051,0,9.677125224,0,0,0,0,0,0,0,0,0
ENSG00000254893,0,36.64755533,0,0,0,0,0,28.95757868,2.359161394,0,2.822773551
ENSG00000199782,0,5.142084934,0,0,0,0,0,0,0,0,0
ENSG00000175518,0,1.384003533,0,0,0,0,0,0,0.162880733,0,0
ENSG00000222522,0,3.577529045,0.987629603,1.223546446,0,12.97235541,73.72938717,2.536472256,1.0124534,0.556626357,1.30E-29
ENSG00000234701,0,0.157814786,0,0,0,0,0,0,0,0,0
ENSG00000256683,0,8.785898208,0,0.064475812,0,0,148.1450255,215.0903646,2.717384932,0,1280.693991
ENSG00000234133,0,75.98411784,0,0,0,0,2.390671816,0,0,0,0.144141035
ENSG00000229356,0,36.32891705,43.40324769,0,0,0,3.434551998,0,0,0,0
ENSG00000233892,0,2.000808945,0,0.052577652,0,0.945403337,2.968679476,0,0.655611973,0,4.28E-43
ENSG00000081985,0,0.371756031,0,0,0,4.074122939,1.938874832,0.809219106,0.014856026,0,0
ENSG00000224278,0,15.50032562,0,0,18.96245837,0,9.246810859,0,0,0,0
ENSG00000232433,0,4.28273635,0,0,15.2529328,0,99.07308541,0,0,0,0
ENSG00000148229,0,68.52060952,0,3.819796174,0,465.0559863,1336.626999,0,0.01822633,533.1046668,1654.519237
ENSG00000237075,0,0,0,0,0,6.9188958,32.67438621,0,0,0,0
ENSG00000238147,0,0,0,0,0,0,0.779113461,3.172803928,0.076232289,0,0
ENSG00000129152,0,11.99134075,0,1.066420073,141.1124924,0,0,0,0,13.31895338,8.85E-19
ENSG00000185264,0,18.55104845,0,0.439046684,0,0,21.1123749,0,0,3.412388698,1.56E-18
ENSG00000197213,0,2.204168895,0,0,14.66416817,0,0,0,0,0,3.43E-34
ENSG00000143545,0.185228759,45.16566611,0,5.069106745,75.30709873,204.3978332,151.984843,0,4.109350854,6.659496447,1.93E-05
ENSG00000092470,0,0.285448433,0,9.04184615,0,169.97746,114.548489,0,43.87788208,0,178.2719316
ENSG00000245521,0,94.06900093,0,0,0,0,0,0,0,0,0
ENSG00000180662,0,1.349727144,0,0,0,0,0,0,2.264399254,0,1.32E-48
ENSG00000119688,0,290.6005202,0,0,0,0,105.2221452,0,5.17369486,0,436.6964571
